date,Bolt.new
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,3
2024-10-06,43
2024-10-13,37
2024-10-20,37
2024-10-27,75
2024-11-03,71
2024-11-10,91
2024-11-17,100
2024-11-24,98
2024-12-01,83
2024-12-08,93
2024-12-15,77
2024-12-22,83
2024-12-29,73
2025-01-05,76
2025-01-12,71
2025-01-19,84
2025-01-26,80
2025-02-02,73
2025-02-09,77
2025-02-16,81
2025-02-23,81
2025-03-02,82
2025-03-09,82
2025-03-16,80
2025-03-23,74
2025-03-30,63
2025-04-06,59
