date,JetBrains AI Assistant
2024-04-07,68
2024-04-14,64
2024-04-21,49
2024-04-28,51
2024-05-05,52
2024-05-12,52
2024-05-19,51
2024-05-26,50
2024-06-02,33
2024-06-09,35
2024-06-16,49
2024-06-23,29
2024-06-30,44
2024-07-07,38
2024-07-14,28
2024-07-21,38
2024-07-28,37
2024-08-04,51
2024-08-11,37
2024-08-18,39
2024-08-25,35
2024-09-01,58
2024-09-08,56
2024-09-15,49
2024-09-22,55
2024-09-29,48
2024-10-06,49
2024-10-13,48
2024-10-20,68
2024-10-27,64
2024-11-03,62
2024-11-10,65
2024-11-17,88
2024-11-24,53
2024-12-01,46
2024-12-08,79
2024-12-15,79
2024-12-22,56
2024-12-29,44
2025-01-05,57
2025-01-12,70
2025-01-19,83
2025-01-26,83
2025-02-02,79
2025-02-09,84
2025-02-16,91
2025-02-23,100
2025-03-02,71
2025-03-09,88
2025-03-16,100
2025-03-23,92
2025-03-30,82
2025-04-06,90
