date,Replit
2024-04-07,72
2024-04-14,79
2024-04-21,74
2024-04-28,75
2024-05-05,71
2024-05-12,82
2024-05-19,74
2024-05-26,60
2024-06-02,72
2024-06-09,67
2024-06-16,54
2024-06-23,53
2024-06-30,53
2024-07-07,55
2024-07-14,54
2024-07-21,61
2024-07-28,52
2024-08-04,57
2024-08-11,62
2024-08-18,62
2024-08-25,70
2024-09-01,77
2024-09-08,90
2024-09-15,69
2024-09-22,65
2024-09-29,59
2024-10-06,54
2024-10-13,72
2024-10-20,57
2024-10-27,58
2024-11-03,53
2024-11-10,55
2024-11-17,57
2024-11-24,52
2024-12-01,55
2024-12-08,58
2024-12-15,57
2024-12-22,49
2024-12-29,47
2025-01-05,51
2025-01-12,58
2025-01-19,59
2025-01-26,59
2025-02-02,68
2025-02-09,83
2025-02-16,76
2025-02-23,87
2025-03-02,70
2025-03-09,77
2025-03-16,74
2025-03-23,79
2025-03-30,93
2025-04-06,100
