date,Windsurf AI
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,2
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,14
2024-11-17,54
2024-11-24,72
2024-12-01,61
2024-12-08,61
2024-12-15,54
2024-12-22,48
2024-12-29,48
2025-01-05,50
2025-01-12,53
2025-01-19,58
2025-01-26,63
2025-02-02,58
2025-02-09,53
2025-02-16,69
2025-02-23,72
2025-03-02,76
2025-03-09,100
2025-03-16,95
2025-03-23,79
2025-03-30,83
2025-04-06,88
